1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1, 11 8 9
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1, 11 8 9
1/8, 4 8 5
3/8, 7 9 4
1/2, 9 3 5
1/2, 8 1 0
5/8, 7 6 2
1/2, 7 6 2
1/8, 4 8 5
3/8, 7 9 4
1/2, 9 3 5
1/2, 8 1 0
5/8, 7 6 2
1/2, 7 6 2
1/2, 8 1 0
5/8, 7 6 2
1/2, 7 6 2
1/4, 6 8 5
1/2, 11 4 3
3/4, 1 6 10
1/4, 1 6 10
1/4, 6 8 5
1/2, 11 4 3
3/4, 1 6 10
1/4, 1 6 10
1/4, 6 8 5
1/2, 11 4 3
3/4, 1 6 10
1/4, 1 6 10
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1, 11 8 9
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1, 11 8 9
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1, 11 8 9
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1, 11 8 9
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1, 11 8 9
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1, 11 8 9
3/4, 6 1 3
1/2, 0 1 3
1/4, 0 1 3
1/2, 7 8 3
1/2, 3 11 2
3/4, 2 6 10
1/8, 11 0 4
7/8, 8 0 2
1/8, 8 0 2
3/4, 6 1 3
1/2, 0 1 3
1/4, 0 1 3
1/2, 7 8 3
1/2, 3 11 2
1/2, 7 8 3
1/2, 3 11 2
1/2, 7 8 3
1/2, 3 11 2
1/2, 7 8 3
1/2, 3 11 2
3/4, 6 1 3
1/2, 0 1 3
1/4, 0 1 3
1/2, 7 8 3
1/2, 3 11 2
3/4, 2 6 10
1/8, 11 0 4
7/8, 8 0 2
1/8, 8 0 2
3/4, 6 1 3
1/2, 0 1 3
1/4, 0 1 3
1/2, 7 8 3
1/2, 3 11 2
1/2, 7 8 3
1/2, 3 11 2
1/2, 7 8 3
1/2, 3 11 2
1/2, 7 8 3
1/2, 3 11 2
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1, 11 8 9
1/8, 0 8 10
1/4, 4 1 0
7/8, 10 3 4
5/8, 10 3 4
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1/4, 1 10 6
5/8, 5 9 3
1/2, 11 1 2
1/8, 11 1 2
1, 11 8 9
